,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
1999-10-01,61.71548993242815,60.28380651574702,40.27078392695831,39.5981337279142,12.176152707832312,11.487412322761742,120.9784084598545,118.34423190184232,63.53441697529184,62.948119216234744,22.68533388257826,22.551496414314858,2.8694726344926395e-05,2.8419068051025508e-05,0.05043333333333333,0.043929381350873195,0.07155241714079641,0.06118804591023276,0.04066666666666666,0.04545952605311593
2000-01-01,61.08275488686526,60.577405478505376,40.3861341286302,39.85893172320069,11.91170440805699,11.53947268832419,119.94765221001337,118.0683299904412,63.516240164305124,63.4402081138082,22.5802413008265,22.633963481065642,2.8547013981800126e-05,2.8683960359939196e-05,0.055200000000000006,0.04274538828649162,0.08374638592636628,0.060862325106130544,0.04033333333333333,0.04557744238319194
2000-04-01,62.00859564445932,60.854600923618555,40.587095224738206,40.111308839393736,12.560558807358197,11.580570402744387,119.79179596244632,117.73740763675401,64.12433527669074,63.92625088867904,22.865492742931107,22.71828569110749,2.8761562185666046e-05,2.8951485789300453e-05,0.05713333333333334,0.041421381883077216,0.07746036335598294,0.060411409136468634,0.03933333333333334,0.045806170253839595
2000-07-01,61.89376715421894,61.11620506716825,40.87558286657786,40.35500035961235,12.354787182041287,11.611605701750552,119.47831258493315,117.35685614499413,64.86586532600039,64.40457201652681,22.77024031055626,22.80443447583257,2.884266472501059e-05,2.9220863554783872e-05,0.06016666666666667,0.03996341947022361,0.07686333882559193,0.05985212481274647,0.04,0.04613851599189486
2000-10-01,62.09229492828872,61.363781054003745,41.11378613542451,40.590044184768864,12.296059121203516,11.634108427712693,118.63656045205163,116.93333430117268,65.53989527392389,64.87357957674065,22.865616809972913,22.89247340560942,2.9028479856933716e-05,2.9491161801681526e-05,0.06016666666666667,0.0383873783471808,0.0700544757370185,0.05921195454285068,0.039,0.04656324040111839
2001-01-01,61.75900280419447,61.59941787225579,41.20197486704424,40.81681573241728,11.62503264622852,11.650093978496415,118.30184440246218,116.47476774040206,66.20610737397094,65.33193694601258,22.704176072005538,22.982445644686944,2.953887092044991e-05,2.9761171751057033e-05,0.04816666666666667,0.03672176284269658,0.05644311257550161,0.058529012743425965,0.042333333333333334,0.04706526771277589
2001-04-01,61.936514189361,61.82570315408364,41.122240630350824,41.03603650911886,11.530934035368539,11.662006038612489,116.6552968201726,115.99004953352174,66.65182590035062,65.7787018271147,22.923921662630594,23.074378277018862,3.0013823809352744e-05,3.002934434104501e-05,0.0366,0.035008689340718414,0.04902308068235128,0.057848190406863356,0.044,0.04762479513288237
2001-07-01,61.48269795549859,62.04537004353558,40.991128551624065,41.248693304361815,11.28491268720279,11.672289192984433,115.03045917966257,115.48907669527048,67.04218840382978,66.21346944769103,22.91748593148615,23.168122592792304,3.0467401915971063e-05,3.0293934972593026e-05,0.0317,0.03329742729008375,0.03657703640111043,0.05721307483794896,0.04833333333333333,0.04821906240846571
2001-10-01,61.45376956440221,62.26126445900447,41.359990308696524,41.455853880841175,10.665284277072887,11.683316034712206,113.33301725411364,114.98200170577574,67.35613436227203,66.63638722879229,23.09133837696426,23.263432466377832,3.09662346563907e-05,3.055313212883282e-05,0.01906666666666667,0.031638240708792086,0.03798573370302338,0.056661737647891036,0.055,0.04882304378959574
2002-01-01,61.83275917699783,62.475918281397675,41.32101836217306,41.65844901986909,10.961674807221081,11.697221707316032,112.04873495477435,114.47852009505849,67.54754894084928,67.0481408813669,23.383257978534413,23.359898963373794,3.1323999639427385e-05,3.0805179457461025e-05,0.0172,0.030080395222786594,0.03192422264043393,0.056219352923874796,0.057,0.04941178494567029
