,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1968-10-01,36.45960652384967,36.06315123713835,21.655770152023706,21.406766271176807,6.054818905172436,6.075318932402627,112.42484191212966,111.54430244035846,35.62468933439128,35.39835850378269,17.210872483964742,17.1491678228367
1969-01-01,36.865628825455175,36.19381131832719,21.785465001994602,21.499621154213024,6.397820701295298,6.093834085097813,112.96606222130382,111.37263354233258,35.85006578555464,35.63391422345971,17.3100468238204,17.18859344928125
1969-04-01,36.826734305492124,36.31107549865555,21.837820582491172,21.58626466223045,6.303889294542135,6.111198060712116,113.54984758640292,111.16598298378429,36.16736052847666,35.86176842311968,17.18087733402314,17.226638843422148
1969-07-01,36.91216287279523,36.41633503391099,21.812292991756806,21.667157562976666,6.363642027761393,6.12794154213065,113.60934505235309,110.92620145699871,36.44236392671677,36.081834243222914,17.16929026182495,17.263836200352234
1969-10-01,36.555636634299695,36.51133354561958,21.852316017224453,21.74293100239834,6.041495322200713,6.14472068945394,112.7193445347465,110.65662338073867,36.70216269138993,36.29422426650457,17.048161535015534,17.300693816509465
1970-01-01,36.31198207924098,36.59815304132522,21.820523591823946,21.814320850702252,5.8071882070847,6.162344312236402,111.68680278630343,110.3622271365521,36.85931102297531,36.49928920375903,17.01067306516252,17.337664917300152
1970-04-01,36.1701150921456,36.678930441966266,21.740869647188525,21.882144960661055,5.8100921261260785,6.181565251633347,109.62843495925915,110.0492296951734,36.94692400163245,36.6976519598966,17.136087695427708,17.375046943060877
1970-07-01,36.29703819210989,36.75564552452773,21.83993789642768,21.94723783724006,5.8120232231956805,6.202916439273077,108.45624647135388,109.72460953854197,37.01898309986159,36.89018211231287,17.3049928199902,17.412932691459847
1970-10-01,35.698269909672085,36.82997528286195,21.648385426011046,22.010356462131302,5.468294648319192,6.226698642927432,106.99714255176427,109.39500810383846,37.083331638390945,37.07792986397441,17.15959235364669,17.451264739544584
1971-01-01,36.463813175051925,36.903321628833574,21.817011419673427,22.072199880540595,6.087013835637096,6.252965161289307,106.90276330292612,109.06619717935672,37.06936650140641,37.26205207990797,17.5399457189875,17.489917199090605
1971-04-01,36.45262220331931,36.97637667326683,21.85462493385723,22.13324611202449,6.220997920694022,6.281262779051383,106.64295935171582,108.7423734722685,37.20547814152493,37.44373483829414,17.539803182385427,17.52857841741047
1971-07-01,36.55047999674933,37.04956063992656,21.899065646486793,22.193817402678107,6.271099316180761,6.311025785366701,106.05489197638845,108.4263263937525,37.37591643403858,37.62406719100412,17.622002293229812,17.566965342632184
1971-10-01,36.42983852631038,37.12296609766092,22.089306474048684,22.254063445177362,6.072501814121827,6.341640433069195,106.58791100852957,108.11949631480029,37.54736298448302,37.80400931804391,17.478676687598284,17.604799503194975
1972-01-01,36.68401567785023,37.196371056797254,22.027776505060565,22.31394916407458,6.3485001742067615,6.372456037750949,106.57838034397513,107.82181839717785,37.45234835976372,37.98438313341391,17.617267597116243,17.641834581580838
1972-04-01,37.31991351205991,37.269112745511876,22.319528492207045,22.3733352492547,6.683740477466017,6.402635697458459,106.7893643279889,107.53227116720316,37.655730244530424,38.165863909894576,17.865732493010952,17.67774287610064
1972-07-01,37.473150793469145,37.34019954863711,22.52626592706035,22.431900010801726,6.768051163946457,6.431311693848027,106.82575439835718,107.24906785515424,37.93325570216639,38.34880174662561,17.889082414329373,17.712178820169004
1972-10-01,37.91864599391338,37.408664339989954,22.84134290770413,22.489284675457725,6.8399735604911625,6.457775213490493,107.43069685529834,106.96997777059903,38.24147480042347,38.5332293074132,17.984423442039382,17.74491185049247
1973-01-01,38.65790775312197,37.47361667234174,23.15301345322281,22.545186187635398,7.137045273954587,6.481514798757494,108.48796290327041,106.69252997995407,38.54223013715582,38.718916116562816,18.168819736816516,17.775820630475625
1973-04-01,38.877864603223344,37.534478522972385,23.112097997473285,22.599518241686383,7.37462596029675,6.502248658461163,109.0653423603234,106.41456499390948,38.90529233406856,38.905442317709415,18.14960762655702,17.804932782901716
1973-07-01,38.473936434689826,37.59140047737629,23.046103606695517,22.65257077500919,7.0928570643711035,6.520088357037496,109.23626321230134,106.13505280005886,39.31429634086636,39.09226810531454,17.87721148966188,17.832520448801475
1973-10-01,38.643995339150244,37.64536280075868,22.875253527557263,22.704955066387726,7.3518635192452555,6.535665234493421,109.22698072228616,105.8546021696298,39.642228632902,39.2788431746565,17.905090509750085,17.859071963242222
1974-01-01,38.115040955018664,37.6978991152544,22.795989929292663,22.75753321030791,6.859260174616544,6.549964435405581,108.20200385263634,105.5757160140655,40.02013101521507,39.464746505315766,17.70966072913477,17.885106838995064
1974-04-01,38.01201553099203,37.75116974302152,22.866545642163913,22.811281874158492,6.891375871312821,6.564463938225531,107.93797024426472,105.3029349863243,40.262911031593966,39.649777563830504,17.65245457707979,17.91117654005839
1974-07-01,37.46479331143855,37.80760735343688,22.797331028783578,22.86721117545045,6.508510774636379,6.580844892624434,107.02192597564783,105.04236645965715,40.508177942180446,39.834080340396596,17.457834515855346,17.937725250182044
1974-10-01,37.13285691723706,37.869822650159996,22.26280602503803,22.92637618872189,6.530635728942218,6.601006771097963,104.72668262103464,104.80167880784931,40.649285653361524,40.0181856856478,17.527373548524533,17.965036437186438
1975-01-01,36.50392463735037,37.940229447765724,22.252920900152727,22.98979987185845,5.51824733648607,6.6268312217226395,100.94389315391456,104.58969847222436,40.79731192423374,40.20305618640935,17.62506630265293,17.993090400336907
1975-04-01,36.591207595869804,38.02079670805224,22.452475721167023,23.05809497608005,5.389066445459011,6.660196039510063,99.54159509349674,104.41515193992369,40.69276645706078,40.39006731959811,17.84460770057041,18.02158958863049
1975-07-01,37.006923072373894,38.11259764365082,22.665165798742184,23.131412989866092,5.739750349983612,6.702270623686933,99.87877306650745,104.28442818778547,40.520887405945885,40.580992349696764,18.03441426544684,18.050001463839642
1975-10-01,37.32150822154729,38.215809175172375,22.798024068550436,23.209523923936857,5.851607869930395,6.753388604183705,101.10193719219285,104.20082027805336,40.47374180868531,40.77782863229974,18.051742342254762,18.07767862734005
1976-01-01,37.97805656865141,38.32991418070187,23.154325633744566,23.291900730795835,6.355200117859028,6.81326473535547,102.27697734805822,104.16486082458634,40.461983627500544,40.98257528782764,18.23370305021506,18.103960004218557
1976-04-01,38.08588637728438,38.453828847274025,23.224525678224964,23.37774943398566,6.626887316667794,6.881015482858415,101.85874077676273,104.17518061660608,40.58729029201469,41.1970810312782,18.31440970795748,18.12816468024135
1976-07-01,38.109877979497846,38.5862399099037,23.408745059473382,23.466178691566885,6.632046144255836,6.9554409326899105,101.77323241705531,104.22928130947815,40.76236988118,41.42290600683668,18.308350371605243,18.149689727544708
1976-10-01,38.216991350544504,38.72558838530703,23.55936634710823,23.556187451056644,6.671223312071952,7.03513699223608,101.87087893868664,104.32325051278768,40.94833709210728,41.66126153138029,18.319159339049605,18.168046494422672
1977-01-01,38.499281961517816,38.86999422854073,23.77760171559759,23.646723223380114,6.975488764929927,7.118429473313455,102.49889780673529,104.45165370667104,41.139914346350814,41.912972285943944,18.35089472397323,18.18284481037136
1977-04-01,39.06481457831041,39.01722856818714,23.865173903157338,23.73671928493959,7.404839142010322,7.203326655112758,103.96927536593088,104.60751188318314,41.387310506542455,42.178435264611544,18.410189526610523,18.193789404288545
1977-07-01,39.57535679687239,39.16479458326823,24.04077113028066,23.825174899095316,7.736469056587435,7.287647882173462,104.57007191338816,104.78259359806263,41.72416805515835,42.45757108423891,18.52842951416826,18.200691300194272
1977-10-01,39.400699292920635,39.31018754508618,24.118157173577433,23.911155459348137,7.68798528404547,7.369237306476883,105.12853199559665,104.96822438839982,42.149818097400484,42.74979936423141,18.31771587175342,18.203498385114376
1978-01-01,39.35722558753537,39.45112303995807,24.193180091557423,23.993848902148407,7.768654927561236,7.446125607949868,105.16579049591543,105.15553999099322,42.554846358954975,43.05406062671447,18.232162077397867,18.20236429061686
1978-04-01,40.70235925289856,39.58534244362221,24.63796803105474,24.07256322089749,8.214791533086906,7.516472737608933,107.76547274848289,105.33571417805233,42.96402818192063,43.368886134664606,18.49632065881246,18.197516377250853
1978-07-01,40.924205272361256,39.71050085966135,24.64312253436105,24.1467244657747,8.413078583873496,7.578591449182207,108.17423030565332,105.49986771081475,43.45889247094039,43.69244782673287,18.4772153961288,18.189202727393393
1978-10-01,41.28068525676538,39.82492267968182,24.688157983006683,24.216105902821884,8.59554226776693,7.631193510853187,108.9756144462591,105.64057738472306,43.98095314846871,44.02260543579575,18.47159883077532,18.177858087094286
1979-01-01,41.17056954071543,39.92767325813479,24.721488098111912,24.280790269769128,8.567945191238076,7.673495367583747,109.2630335522478,105.75204831593051,44.537757092593075,44.35700458666282,18.310011419946278,18.164096148152666
1979-04-01,41.04106446466939,40.018717048056544,24.670360813702942,24.341158118316038,8.541508693823841,7.705313943014165,109.14762938138603,105.83053887039041,45.07988754620991,44.69319160769183,18.187776267599133,18.14871173404711
1979-07-01,41.15695691294009,40.09879757800882,24.86895002310721,24.39787089456365,8.418201613754595,7.727041391337265,109.65204419841137,105.87448650343536,45.5799485733728,45.028751952792,18.114477616354186,18.13258827728924
1979-10-01,41.04782485524873,40.16930774868195,24.9407139768142,24.45180367385061,8.256256616957996,7.739615134973368,109.31681551738617,105.88440144362542,46.00378522355737,45.36144308957643,18.04388886244197,18.11663063362996
1980-01-01,41.00254723194048,40.23231324599599,25.018878545102822,24.504133555666275,8.150445293331801,7.744428960187581,108.57944106271451,105.8631468565305,46.41401596864355,45.689305770632515,18.04728887843326,18.101729205119437
